,Diagnosis,Vs_Norm_Diagnosis,Region_Column,ROI_Name,Diagnosis_Mean,Diagnosis_Std,Norm_Mean,Norm_Std,Mean_Difference,Cliffs_Delta,Cliffs_Delta_CI_Low,Cliffs_Delta_CI_High,Significant_Bootstrap_p05_uncorrected,Cohens_d,P_Value_Uncorrected,Abs_Cliffs_Delta,Abs_Cohens_d
11,MDD,HC,region_11_z_score,[N] Left Amygdala (Vgm),1.3539464667919903,3.242251123700483,1.1944095890933382,2.866900593184678,0.1595368776986521,0.011266503537774948,-0.07471435865809908,0.105761898130649,False,0.05294702533341992,0.8125,0.011266503537774948,0.05294702533341992
12,MDD,HC,region_12_z_score,[N] Left AnG angular gyrus (Vgm),0.9620395250684457,1.2993750920713303,0.968233411952038,1.4089420809856987,-0.006193886883592348,-0.003614034389692376,-0.09076199759948542,0.08797687017990596,False,-0.004524775929783039,0.94,0.003614034389692376,0.004524775929783039
13,MDD,HC,region_13_z_score,[N] Left Basal Forebrain (Vgm),1.1084676780437708,1.7173454875827074,0.9134532621413973,1.369248196405136,0.19501441590237345,0.07622628497158507,-0.0027387086292531217,0.15607986684438432,False,0.12921511996729956,0.51125,0.07622628497158507,0.12921511996729956
14,MDD,HC,region_14_z_score,[N] Left CO central operculum (Vgm),1.0586931928316978,1.7525757027285507,0.9079971403921107,1.4186046527666667,0.15069605243958717,0.03683662575181862,-0.05284447715863953,0.12161059939920822,False,0.09708001675792406,0.57625,0.03683662575181862,0.09708001675792406
15,MDD,HC,region_15_z_score,[N] Left Calc calcarine cortex (Vgm),1.1331981534901598,1.3779468607431922,0.9512284845192256,1.5794483225809688,0.18196966897093425,0.11647800744026897,0.030364520129176863,0.19106637223891088,True,0.12074594039195485,0.51625,0.11647800744026897,0.12074594039195485
16,MDD,HC,region_16_z_score,[N] Left Caudate (Vgm),0.832691688796593,1.2059041572102676,0.9687298497217144,1.6863712895317204,-0.13603816092512133,-0.028574081073732934,-0.11651779497483439,0.05505931658278128,False,-0.08926088955344806,0.575,0.028574081073732934,0.08926088955344806
17,MDD,HC,region_17_z_score,[N] Left Cerebellum Exterior (Vgm),1.0195777597287101,1.7549786155607672,0.9455820044426236,1.4633061017979796,0.07399575528608648,-0.016823495865412035,-0.10058951863714431,0.06832182810458817,False,0.04686212780049832,0.71375,0.016823495865412035,0.04686212780049832
18,MDD,HC,region_18_z_score,[N] Left Cerebellum White Matter (Vgm),1.16731606397325,1.4937397242958623,0.9401875048972379,1.4026871723066496,0.22712855907601215,0.09394500036471906,0.0055901486064416014,0.1731885067075152,True,0.15800160799632165,0.5125,0.09394500036471906,0.15800160799632165
19,MDD,HC,region_19_z_score,[N] Left Cerebral White Matter (Vgm),1.2261174776890056,1.55493699952155,0.8985053919370796,1.2349361718824234,0.327612085751926,0.15328147691328306,0.07596103474114893,0.23218015795651223,True,0.2402263294288049,0.48625,0.15328147691328306,0.2402263294288049
20,MDD,HC,region_20_z_score,[N] Left Cun cuneus (Vgm),1.1402830542880142,1.5655004501919612,0.9744759599176046,1.3341661424490996,0.16580709437040964,0.07732707342789504,-0.010974728284295196,0.1571806553006943,False,0.11632946541263305,0.4775,0.07732707342789504,0.11632946541263305
21,MDD,HC,region_21_z_score,[N] Left Ent entorhinal area (Vgm),1.3298601512191544,1.9500062519004822,1.0734582158695278,1.5926788365772537,0.2564019353496265,0.07874616216072838,-0.009635214620592702,0.1591567695174435,False,0.14775478692339683,0.5025,0.07874616216072838,0.14775478692339683
22,MDD,HC,region_22_z_score,[N] Left FO frontal operculum (Vgm),1.2302331861389773,1.7232163595486292,0.880150129578142,1.237416521822363,0.35008305656083527,0.1090244759650135,0.02232743814696189,0.19558888866784704,True,0.2432920630600209,0.51875,0.1090244759650135,0.2432920630600209
23,MDD,HC,region_23_z_score,[N] Left FRP frontal pole (Vgm),1.0138851481417188,1.4371097595001527,1.0032417568718444,1.477807051524248,0.010643391269874458,0.00027188148619704115,-0.09086809769165986,0.07702203566289348,False,0.007276645508846345,0.99625,0.00027188148619704115,0.007276645508846345
24,MDD,HC,region_24_z_score,[N] Left FuG fusiform gyrus (Vgm),1.077801098156826,1.55078759881313,1.0760203690784673,1.4975951617187329,0.0017807290783586893,-0.017539671487589604,-0.10371947135629074,0.06175688490129376,False,0.001173260683333377,0.6975,0.017539671487589604,0.001173260683333377
25,MDD,HC,region_25_z_score,[N] Left GRe gyrus rectus (Vgm),0.9754702920273051,1.4394630984498002,0.9394774462116865,1.3385578489166587,0.03599284581561857,0.016810233353890227,-0.05581527973952427,0.09601395216212094,False,0.02613358620483782,0.68875,0.016810233353890227,0.02613358620483782
26,MDD,HC,region_26_z_score,[N] Left Hippocampus (Vgm),1.00106493123655,1.5415635873169524,1.0457922147340237,1.5005822550984589,-0.04472728349747368,-0.03627960026790273,-0.11619949469831102,0.04594797116729995,False,-0.029501926825239312,0.53,0.03627960026790273,0.029501926825239312
27,MDD,HC,region_27_z_score,[N] Left IOG inferior occipital gyrus (Vgm),1.1020498993626342,1.464603467965644,0.969846965815719,1.303941119086898,0.13220293354691515,0.05288426469320495,-0.02883933130416907,0.1379234885710307,False,0.09675237455593477,0.525,0.05288426469320495,0.09675237455593477
28,MDD,HC,region_28_z_score,[N] Left ITG inferior temporal gyrus (Vgm),1.0418799041236413,1.4472136236274786,0.9577101993554759,1.3214065782885678,0.08416970476816543,0.047764935245787496,-0.030696082917222034,0.13015165681925187,False,0.06144048531257158,0.50375,0.047764935245787496,0.06144048531257158
29,MDD,HC,region_29_z_score,[N] Left Inf Lat Vent (Vgm),1.264623044964726,1.6165635413166184,1.0265721075265462,1.4545408906182578,0.23805093743817984,0.07836154932659598,-0.010351390242770273,0.16040344560049336,False,0.15688823064153717,0.4925,0.07836154932659598,0.15688823064153717
30,MDD,HC,region_30_z_score,[N] Left LOrG lateral orbital gyrus (Vgm),1.1118020615455535,1.561925743474072,0.9399393520316978,1.4347191566249142,0.17186270951385574,0.0805100761931287,0.0013859324540288194,0.16752541428770365,True,0.1158338484453495,0.5075,0.0805100761931287,0.1158338484453495
31,MDD,HC,region_31_z_score,[N] Left Lateral Ventricle (Vgm),1.3320457167073203,1.9334929722988823,0.9646498525108865,1.4669813564586014,0.3673958641964338,0.07875942467225018,0.0026060835140350527,0.15821513119939523,True,0.22167222975864176,0.49625,0.07875942467225018,0.22167222975864176
32,MDD,HC,region_32_z_score,[N] Left LiG lingual gyrus (Vgm),1.0734935666819563,1.1999629715401723,1.0997493622047687,1.4458556276073717,-0.02625579552281243,0.0475792600844822,-0.03137247100483419,0.1265575161968422,False,-0.019321783214158172,0.505,0.0475792600844822,0.019321783214158172
33,MDD,HC,region_33_z_score,[N] Left MCgG middle cingulate gyrus (Vgm),1.2049601026342116,1.77035622114216,1.0375250237226208,1.4172474378609237,0.16743507891159082,0.016810233353890227,-0.07277803197591527,0.09625267736951347,False,0.10739464178952303,0.68625,0.016810233353890227,0.10739464178952303
34,MDD,HC,region_34_z_score,[N] Left MFC medial frontal cortex (Vgm),1.3769711398720599,1.7922908238831816,0.9850585302164595,1.26679382839029,0.3919126096556004,0.12983335654272848,0.04460845750359746,0.20610606030463988,True,0.2637725706574148,0.49125,0.12983335654272848,0.2637725706574148
35,MDD,HC,region_35_z_score,[N] Left MFG middle frontal gyrus (Vgm),1.2040265775647347,1.579044115141763,0.9193001906660362,1.3762242656350223,0.28472638689869856,0.11995278545898237,0.040192041166835765,0.21103971459075205,True,0.19560794352116564,0.535,0.11995278545898237,0.19560794352116564
36,MDD,HC,region_36_z_score,[N] Left MOG middle occipital gyrus (Vgm),1.2382232202865218,1.7045493437535362,1.0165117319623471,1.6218180270056552,0.22171148832417464,0.09330839981167234,0.012009204182996135,0.17826804862036724,True,0.13410016555094956,0.47875,0.09330839981167234,0.13410016555094956
37,MDD,HC,region_37_z_score,[N] Left MOrG medial orbital gyrus (Vgm),0.8820127503002965,1.2342135474735136,0.927201771754685,1.4341695852154812,-0.04518902145438852,-0.005484048514267147,-0.08382570407358042,0.07791062393485454,False,-0.03316311565367751,0.885,0.005484048514267147,0.03316311565367751
38,MDD,HC,region_38_z_score,[N] Left MPoG postcentral gyrus medial segment (Vgm),1.1490858129965638,1.6049679913705983,0.978962004973415,1.3552825803489197,0.17012380802314875,0.028017055589817045,-0.04913097393253361,0.11422338048156179,False,0.11700816933777083,0.60875,0.028017055589817045,0.11700816933777083
39,MDD,HC,region_39_z_score,[N] Left MPrG precentral gyrus medial segment (Vgm),1.0709654353214373,1.688941513716828,1.0204408948316517,1.4515672521145724,0.05052454048978561,0.023468014137837282,-0.05134581335667535,0.10553643543477828,False,0.032704872933557665,0.65,0.023468014137837282,0.032704872933557665
40,MDD,HC,region_40_z_score,[N] Left MSFG superior frontal gyrus medial segment (Vgm),1.349671600902883,1.7319087864723577,1.0314636162394533,1.3723198239342649,0.3182079846634298,0.1250323273718344,0.048414798310356034,0.21261795346184706,True,0.2097356124352587,0.5,0.1250323273718344,0.2097356124352587
41,MDD,HC,region_41_z_score,[N] Left MTG middle temporal gyrus (Vgm),0.9086449801076762,1.3197205929586837,0.9087731977242038,1.208041022739379,-0.00012821761652759278,-0.04267213082141365,-0.12642489108162414,0.03797720174269401,False,-0.0001024847535954491,0.51375,0.04267213082141365,0.0001024847535954491
42,MDD,HC,region_42_z_score,[N] Left OCP occipital pole (Vgm),1.0657738321020338,1.483870503416973,0.8682696229557373,1.3487783552284878,0.19750420914629652,0.09966114283061783,0.016478670565845056,0.1820743894271258,True,0.140977230872705,0.49875,0.09966114283061783,0.140977230872705
43,MDD,HC,region_43_z_score,[N] Left OFuG occipital fusiform gyrus (Vgm),1.0603159793096406,1.4795719373846998,1.0856186420551721,1.5348557845888864,-0.0253026627455315,-0.00818960086471575,-0.09402457543384991,0.07139873077764736,False,-0.01670847632861666,0.85375,0.00818960086471575,0.01670847632861666
44,MDD,HC,region_44_z_score,[N] Left OpIFG opercular part of the inferior frontal gyrus (Vgm),1.120573269618687,1.586589350630567,0.9414170087040671,1.3824844458215895,0.1791562609146199,0.06783111517828132,-0.008415063560586468,0.14920988587608836,False,0.12251123609862455,0.52875,0.06783111517828132,0.12251123609862455
45,MDD,HC,region_45_z_score,[N] Left OrIFG orbital part of the inferior frontal gyrus (Vgm),1.1612865695592018,1.905029224927008,0.920727343941779,1.2697805979550791,0.24055922561742282,0.021332749782826375,-0.05634578020039655,0.09989986803801036,False,0.15630485019424306,0.6425,0.021332749782826375,0.15630485019424306
46,MDD,HC,region_46_z_score,[N] Left PCgG posterior cingulate gyrus (Vgm),1.0787769721930218,1.4940762882193155,0.8877748849921575,1.394352462651706,0.1910020872008643,0.09482032612515832,0.018056909436940074,0.1797534499108096,True,0.13332895988574456,0.50375,0.09482032612515832,0.13332895988574456
47,MDD,HC,region_47_z_score,[N] Left PCu precuneus (Vgm),1.0580823620741384,1.4789798837828434,0.9429980040895085,1.303741075305425,0.1150843579846299,0.029542244414824836,-0.05370654040755698,0.1082419877852269,False,0.08387578032651048,0.5725,0.029542244414824836,0.08387578032651048
48,MDD,HC,region_48_z_score,[N] Left PHG parahippocampal gyrus (Vgm),1.2356475425517692,1.985713978417723,0.9542557314601242,1.2468250130262397,0.281391811091645,0.05659776791931088,-0.03585519989920491,0.13610652449254315,False,0.1797652646880882,0.53125,0.05659776791931088,0.1797652646880882
49,MDD,HC,region_49_z_score,[N] Left PIns posterior insula (Vgm),1.234326002692108,1.7071985660331757,0.974612779686402,1.3350583552762292,0.2597132230057059,0.06783111517828132,-0.012420342040172148,0.15039024940152917,False,0.1748232664736594,0.4925,0.06783111517828132,0.1748232664736594
50,MDD,HC,region_50_z_score,[N] Left PO parietal operculum (Vgm),0.9546249348057723,1.326127498711958,0.9260048044968712,1.2926760996085656,0.028620130308901093,0.011014515818860617,-0.07208838137678132,0.08860020822143089,False,0.021925743829132923,0.80375,0.011014515818860617,0.021925743829132923
51,MDD,HC,region_51_z_score,[N] Left POrG posterior orbital gyrus (Vgm),1.1221602718317973,1.5054192139872542,1.0003205662297958,1.481845662660221,0.12183970560200152,0.037433438770299934,-0.04459519499207565,0.12129229912268487,False,0.08173160276096682,0.545,0.037433438770299934,0.08173160276096682
52,MDD,HC,region_52_z_score,[N] Left PP planum polare (Vgm),1.199172964014949,1.7865604347410926,0.9847276777588023,1.4199959908209416,0.21444528625614678,0.03707535095921115,-0.05881260734345263,0.12748589200336868,False,0.13680411135143922,0.5275,0.03707535095921115,0.13680411135143922
53,MDD,HC,region_53_z_score,[N] Left PT planum temporale (Vgm),1.0035034012376538,1.4124250255736743,0.9900666959889791,1.3937852158480635,0.013436705248674685,0.0004177691129369169,-0.08604054349772217,0.07910424997181717,False,0.00959213653423371,0.99,0.0004177691129369169,0.00959213653423371
54,MDD,HC,region_54_z_score,[N] Left Pallidum (Vgm),1.0649357652719225,1.414003169000807,0.9497964621247538,1.2951317119143946,0.11513930314716869,0.08479386741467232,0.006942924781665904,0.17135828011750584,True,0.08586436610164046,0.505,0.08479386741467232,0.08586436610164046
55,MDD,HC,region_55_z_score,[N] Left PoG postcentral gyrus (Vgm),0.9939331991437225,1.264827377215154,1.0058414950203993,1.3832921171545776,-0.011908295876676855,-0.011757216464081803,-0.1003773184527954,0.07210164388830313,False,-0.008886153829475014,0.8075,0.011757216464081803,0.008886153829475014
56,MDD,HC,region_56_z_score,[N] Left PrG precentral gyrus (Vgm),0.9013932307934636,1.3329412451965457,0.9844697478894331,1.695232559923507,-0.08307651709596953,0.008481376118195503,-0.06525818794305077,0.09158427331383744,False,-0.05294174737697607,0.85625,0.008481376118195503,0.05294174737697607
57,MDD,HC,region_57_z_score,[N] Left Putamen (Vgm),1.1979245556244056,1.6123047092708522,0.930018433128637,1.4733682503017003,0.2679061224957686,0.14954144866413352,0.06866665340415515,0.23253824576760102,True,0.1754516142216904,0.5075,0.14954144866413352,0.1754516142216904
58,MDD,HC,region_58_z_score,[N] Left SCA subcallosal area (Vgm),1.0626218132049103,1.4845402080215464,0.9087687821779006,1.2319892431808155,0.15385303102700976,0.0953508265860306,0.016173632800843496,0.17809563597058375,True,0.11547772443042804,0.505,0.0953508265860306,0.11547772443042804
