ROI_Name,CTT-SCHZ,CTT-MDD,CTT-high_GAF_Score,CTT-low_GAF_Score,CTT-high_PANSS_Positive,CTT-low_PANSS_Positive,CTT-high_PANSS_Negative,CTT-low_PANSS_Negative,CTT-high_PANSS_General,CTT-low_PANSS_General,CTT-high_PANSS_Total,CTT-low_PANSS_Total,CTT-high_BPRS_Total,CTT-low_BPRS_Total,CTT-high_NCRS_Motor,CTT-low_NCRS_Motor,CTT-high_NCRS_Affective,CTT-low_NCRS_Affective,CTT-high_NCRS_Behavioral,CTT-low_NCRS_Behavioral,CTT-high_NCRS_Total,CTT-low_NCRS_Total,CTT-high_NSS_Motor,CTT-low_NSS_Motor,CTT-high_NSS_Total,CTT-low_NSS_Total
[N] Left SCA subcallosal area (Vgm),0.20329553658640168,0.28025430620241,0.29064947029018884,0.19926813040585495,0.24577511643379907,0.2277140633986265,0.1971612330893768,0.26378821304758904,0.31528247852121843,0.19353449962819458,0.3597804391217565,0.19595292174272144,0.2756305570676828,-0.13373253493013973,0.2310116608887488,0.23150063509344945,0.2358508788873865,0.20825016633399868,0.25430771110839545,0.18642714570858285,0.28409846972721225,0.20108718732747272,0.44682064442543484,0.2088658503887747,0.32180084275892656,0.21885459849531705
[N] Left GRe gyrus rectus (Vgm),0.19097974264237483,0.2913432394470319,0.35482880393060034,0.15868263473053892,0.25482368596141053,0.22067728948881898,0.1758704812597028,0.2766046853661099,0.24151696606786427,0.22132206175883526,0.17589820359281438,0.241861105375456,0.27188048146131977,-0.1377245508982036,0.28059670133417375,0.20929050988931228,0.2529135277831434,0.0968063872255489,0.19898977555093894,0.28367265469061875,0.24269978561395728,0.21892385441882192,0.06187624750499002,0.24491315875711264,-0.06365047682412951,0.26792568708736375
[N] Left Inf Lat Vent (Vgm),0.18333545674608231,0.2969616322909736,0.3103024719791187,0.17847638057218895,0.0895542248835662,0.2591765621299773,0.0665335994677312,0.37472423573904823,0.21201076108652261,0.23055849086141442,0.1060379241516966,0.2575538578016381,0.1633702292384927,0.7315369261477046,0.31274293518226703,0.19441117764471058,0.17712961174425343,0.47105788423153694,0.2530041956902522,0.16950099800399201,0.23796850742958528,0.21722512421964582,0.3943541488451668,0.2070783805523282,0.1705477933022843,0.23230462152617842
[N] Cerebellar Vermal Lobules I-V (Vgm),0.08999023230135474,0.38863014711318106,0.22739137110394594,0.18354956753160345,-0.12574850299401197,0.28150478703609727,0.12208915502328677,0.27177224498371677,-0.0849605137550985,0.32699307267817307,0.0187125748502994,0.2486750636657719,0.1633097441480675,0.4930139720558882,0.20159680638722555,0.1980402830702232,0.18421222071985063,0.2751164337990685,0.23809523809523808,0.12223552894211577,0.1573889258519997,0.22283093387692698,0.4154548046763616,0.17633389936544822,0.21445996895098693,0.1968063872255489
[N] Right SCA subcallosal area (Vgm),0.2892512846647131,0.1881422340504177,0.26101642868109937,0.2476713240186294,0.3306719893546241,0.2324503535302277,0.11255267243291195,0.38480932871099904,0.391130781914432,0.18977730812884036,0.3967065868263473,0.21254043636864203,0.28409846972721225,-0.009481037924151697,0.21042126273768252,0.2668481219379423,0.2565836069795892,0.23053892215568864,0.23556967697258543,0.2852694610778443,0.36246026465587344,0.1891111394232811,0.25862560593099515,0.25170554413560936,0.08361055666444887,0.27572547213265775
[N] Right OCP occipital pole (Vgm),0.20439971121586614,0.260146373918829,0.024105634884078,0.333416500332668,0.43446440452428475,0.17141987212016643,0.1656686626746507,0.2807017543859649,0.2456825479475831,0.21529490039528787,0.21706586826347304,0.2268566315644573,0.23250468759450796,0.16067864271457086,0.24151696606786427,0.21894393032117582,0.24331981198892538,0.12874251497005987,0.3898733145952992,-0.09892215568862275,0.43269017520514524,0.10527880409393978,0.08354719133162247,0.23949116691989156,0.09336881791971613,0.2429295255642561
[N] Right Putamen (Vgm),0.42769779589756657,0.02772233311155467,0.35145094426531553,0.2440119760479042,0.40652029274783763,0.25004228830474645,0.3540696385007762,0.2132576951360437,0.3472186062657294,0.2522406168056045,0.5247005988023952,0.214742927937229,0.3194822476259602,-0.02944111776447106,0.40350877192982454,0.23970241335510797,0.2578069667117378,0.4055222887558217,0.22424538677746547,0.3944910179640719,0.35728542914171657,0.23837431519938845,0.6909039064727688,0.23901450829683915,0.582612552672433,0.24010440657147245
[L] bBst (Vgm),-0.11716991548817259,-0.32815849781917644,-0.15722401351143866,-0.2141550232867598,-0.04590818363273453,-0.23184140194187897,-0.13317808826790864,-0.2519172181951886,-0.06864531805953311,-0.2507533951704434,0.08408183632734531,-0.2709064629361966,-0.16004354926510614,-0.4755489021956088,-0.128479882340582,-0.21683904917437852,-0.18949198377438672,-0.21823020625415834,-0.1593140250112021,-0.26243512974051897,-0.13343683004361648,-0.2290312991039198,-0.03849443969204448,-0.210414990913695,-0.011310711909514305,-0.2194687547980961
[N] Cerebellar Vermal Lobules VIII-X (Vgm),0.08183632734530938,0.33688179197161233,0.23476124673729465,0.14246506986027943,0.13612774451097803,0.18474914577624413,0.14859170547793302,0.1998109045067759,0.15143625791894472,0.18547219286916364,0.09555888223552894,0.19677885608094156,0.16718078993528096,0.23852295409181637,0.10179640718562874,0.2001451642170205,0.1406219818427661,0.35196274118429804,0.2399690415088191,0.04734530938123752,0.087898277519036,0.22486941011593833,0.01568291987453664,0.19152739297524354,0.13461964958970948,0.18046982957162597
[N] Right MOrG medial orbital gyrus (Vgm),0.32348069817811187,0.08893324462186737,0.35774604636880086,0.17298735861610112,0.3833666001330672,0.2009201935112825,0.2060323796850743,0.26809538817102635,0.24238479562613902,0.23588117881883292,0.2876746506986028,0.22417234496524194,0.2640174197060425,0.02245508982035928,0.34425885071961343,0.20116131373616403,0.20217629257613803,0.42248835662009315,0.1658316021019186,0.3791616766467066,0.1562061063059067,0.28483458614685525,0.33390362132877105,0.22787261298298925,0.16167664670658682,0.24845693228926763
[N] Right SMG supramarginal gyrus (Vgm),0.0601775173058139,0.35048421675168184,0.23000153539075696,0.1314870259481038,0.08130405854956753,0.18765858114279915,0.054668440895985805,0.2716671919319256,0.021782521912696345,0.23118468944464013,-0.0376746506986028,0.22231399270424668,0.18659650396177344,-0.0029940119760479044,0.19949574535140246,0.1545636000725821,0.15098834588886742,0.24417831004657353,0.10032995234021752,0.2950099800399202,0.08124491757226288,0.21484690194079925,-0.12745936698032506,0.19677063782881998,-0.22954091816367264,0.22088131429448796
[N] Left TTG transverse temporal gyrus (Vgm),0.18299571070624707,-0.2268795741849634,0.017964071856287425,0.041833000665336,0.32029274783765804,-0.039480361311275754,0.18928809048569528,-0.11419266729698498,0.13303827128351992,-0.011467261555320732,0.33358283433133734,-0.049349576708651664,0.02661343978709248,0.08982035928143713,0.2394159050320412,-0.03770640537107603,-0.01616122593522632,0.2897538256819694,0.004440099393050633,0.0902994011976048,0.030975086863310415,0.03486643733808978,0.3983461648132307,-0.004677212738701701,0.34752716788644933,-0.010041455550437586
[N] Right MPrG precentral gyrus medial segment (Vgm),0.30003822142948144,-0.10771050491609374,0.1811761093198219,0.13506320691949433,0.2537591483699268,0.12520721269325755,0.14936793080505656,0.15306229645971214,0.19448060400937256,0.13177566435755939,0.18737524950099801,0.14130359969715742,0.17722131494586585,-0.06287425149700598,0.2797562769198445,0.10687715478134639,0.14351941278732858,0.19128409846972722,0.0894944804269013,0.2723353293413174,0.12914910918902936,0.1639699324754746,0.15312232677502138,0.15107099234367086,0.06409403415391439,0.16333486872409028
[L] rPut (Vgm),0.3808128424003058,0.016189842537147926,0.308152924919392,0.2150698602794411,0.31869594145043245,0.22974390202645556,0.28986471501441563,0.20789998949469482,0.2835199166883624,0.2316543383820594,0.41691616766467066,0.20111501135659715,0.29026794895058367,-0.1027944111776447,0.3631684000420212,0.2079114498276175,0.2308930526044685,0.33499667332002664,0.19825654812823332,0.34483033932135726,0.29356102609595625,0.2214719497175861,0.5996578272027374,0.2110108141925105,0.5072078066090042,0.2118532166436358
[N] Right Cun cuneus (Vgm),-0.284070157557226,0.10238781695867524,-0.10087517273146016,-0.1659181636726547,-0.3091151031270792,-0.1008491491593085,-0.13739188290086493,-0.14843996218090136,-0.26633689143452227,-0.08747211459434073,-0.3473053892215569,-0.0867231055131117,-0.1622210125204137,0.014970059880239521,-0.2579052421472844,-0.10339321357285429,-0.13431202111905222,-0.18829008649367932,-0.1998044726872785,-0.0318562874251497,-0.39824055592518665,0.0035248651632904405,-0.32591958939264326,-0.12396103315756547,-0.3741406076735418,-0.11107016735759251
[N] Left CO central operculum (Vgm),0.14460440820486686,0.23604642566718415,0.08536772608628897,0.22812707917498337,0.34504324683965404,0.1354917284075916,0.22632512752273232,0.1321567391532724,0.07437299314414648,0.22468787914367344,0.38173652694610777,0.1217564870259481,0.1388737676162826,0.5004990019960079,0.2709318205693875,0.14585374705135185,0.15768463073852296,0.2827677977378576,0.19956006354637665,0.13564870259481038,0.2576328823833814,0.1322036777508812,0.05389221556886228,0.19093156969642805,0.056997116877356396,0.1947182557961001
[N] Right TrIFG triangular part of the inferior frontal gyrus (Vgm),0.2507750456533741,0.12811414208619798,0.22002149547059727,0.19843646041250831,0.5720558882235529,0.11296051963868872,0.3032823242404081,0.11387750814161152,0.45430877375683415,0.09404719971821064,0.49101796407185627,0.1274003716704522,0.20147583620637513,0.2435129740518962,0.32703015022586407,0.16421702050444564,0.20649024531581997,0.20359281437125748,0.24901217972218828,0.1217564870259481,0.24181267095438752,0.18545886949505244,0.3128029654975763,0.19486400333661036,0.21179862497227767,0.205220328573622
[N] CSF (Vgm),0.2405826644583174,-0.1371331411251571,0.037770612620912025,0.1379740518962076,0.12574850299401197,0.09692479447883894,0.1430472388556221,0.06460762685156003,0.0679510544129133,0.11846894446401315,0.17390219560878242,0.0831440567141579,0.11842980705256155,-0.026447105788423155,0.39132261792205064,0.0030847396116857194,0.02601249114673878,0.49933466400532267,0.04509348649639496,0.21580838323353294,0.15886745028461596,0.0705397715207882,0.3635585970915312,0.07552060058986505,0.20204036371701042,0.08902195608782436
[N] Right MSFG superior frontal gyrus medial segment (Vgm),-0.0967851530980592,0.26458194721667777,0.07108859204667588,0.015552228875582169,-0.0648037258815702,0.06045536046550966,-0.14947882013750277,0.20989599747872675,-0.10821834591686193,0.09968298696724198,-0.1122754491017964,0.07571064767017689,0.021653662372225248,0.14570858283433133,-0.16503834436390377,0.10419161676646707,0.051831820230506725,-0.051563539587491686,0.0949529512403764,-0.08231536926147705,0.01988615361868855,0.04378477088376439,0.11491303108069575,0.026722674054875325,-0.013972055888223553,0.041854752034392755
[N] Right MTG middle temporal gyrus (Vgm),0.17764471057884232,0.17291343239447032,0.09043451558421618,0.2222222222222222,0.19121756487025948,0.17202882370851516,0.2879795963628299,0.06975522638932662,0.33472186062657294,0.10430120151853156,0.19610778443113772,0.170348957257898,0.2048025161797617,-0.062375249500998,0.31022166193927936,0.1295227726365451,0.1911660549868006,0.09713905522288756,0.221393946800277,0.08678642714570858,0.12929696163229099,0.20270098101669,-0.007698887938408896,0.19510233264813656,0.16478154801508094,0.1774604636880086
